Fruit;Decription
Abricot;Ce fruit délicat est issu de la Chine et possède un noyau central. Il y en a plus de quarante variétés cultivées généralement en Turquie. Sa peau orange est comestible, surplombée d’un duvet et devient lisse à maturité. Sa chair est plus farineuse et dense. Il possède un parfum sucré sans égal.
Abricot pays;L’abricot pays ou Mamey vient des Grandes Antilles. Il ressemble par sa couleur et sa texture à l’abricot, sans y être lié. C’est une baie comestible orange vif. Ses goûts sont aromatiques et acidulés. Sa pulpe est recouverte par une peau gris-brun rugeuse. Il contient quelques graines que l’on peut râper et tremper dans de l’alcool.
Açaï;Petite baie d’Amérique du Sud, ayant davatange de notoriété de nos jours, elle provient d’un palmier des zones marécageuses. D’un pourpre foncé, sa saveur allie celle des baies sauvages avec des tons chocolats. Ses vertus antioxydantes ne font qu’accroître la curiosité pour ce fruit. Son aspect est apparenté au cassis.
Acérola;Ayant la forme d’une petite cerise à bourrelets, et remarquablement riche en vitamine C, l’acérola a une couleur rouge épatante. Poussant en Amérique du Sud et Centrale, elle étonne et séduit par son goût sucré, acide et légèrement âpre.
Achacha;Originaire des Antilles, l’achacha est une baie. De forme ellipsoïde et acuminée, il a une peau lisse. D’environ sept centimètres de diamètre, sa couleur extérieure est jaune d’or. Il peut comporter une ou plusieurs graines entourées d’une pulpe blanche. Comestible, son goût est généralement décrit comme amer mais plutôt rafraîchissant.
Aguaje;L’aguaje, ou buriti, pousse en forêt brésilienne et péruvienne, dans les zones marécageuses. Il a une forme elliptique plus longue que large. Riche en lipides et acides gras, sa partie charnue se consomme crue et a un riche apport calorique. Sa peau possède des écailles brillantes brunes avec une chair jaune vif.
Airelle rouge;L’airelle rouge est acidulée. Globuleuse, elle atteint parfois dix millimètres de diamètre. Sa couleur est rouge, et son caractère acide diminue si elle est blette. L’airelle rouge se mange crue, en gelées et en confitures, seule ou mélangée. Elle a des traits de ressemblance avec la groseille. Elle pousse au Japon et en Amérique du Nord.
Amla;Ce fruit jaunâtre a des allures de groseille. Connue sous l’appellation de groseille à maquereau indienne, elle se récolte l’hiver dans l’hémisphère nord. Elle possède une forme de sphère avec des facettes peu saillantes. Acide, tannique, sa peau est fine.
Ananas;L’ananas est un fruit tropical issu d’une plante herbacée du même nom vivant à l’origine dans des zones arides. Même s’il vient d’Amérique de Sud, il est néanmoins cultivé aux Philippines, dans les Antilles, en Chine et en Thaïlande. Sous son écorce épaisse composée d’écailles de forme géométrique, se cache une chair juteuse, sucrée et parfumée de couleur jaune ou blanche. L’ananas est riche en vitamines et oligo-éléments.
Arbouse;Baie sphérique, elle est pigmentée de rouge et ne dépasse pas les deux centimètres. D’une saveur discrète et acidulée, elle a l’aspect d’un litchi orangé ou jaune avec sa peau rugueuse qui contient des picots. Elle se consomme surtout transformée dans des sirops. Elle pousse sur le pourtour méditerranéen occidental.
Aronia;L’aronia est une petite baie d’un arbuste d’Amérique du Nord. De couleur noire et légèrement amère, ou rouge et plus sucrée, elle a la forme d'une sphère d’un centimètre de diamètre. Elle a une apparence proche de la myrtille et un goût de cerise. Très parfumée, elle renferme de multiples vitamines et vertus.
Aronia noir;Provenant de fleurs blanches à cing pétales larges, les aronias noirs donnent une production de fruits importante. Ces baies sont noires et rondes ont un diamètre d’environ neuf millimètres. Les aronias mûrissent d’octobre à décembre. Elles possèdent un goût mêlant un côté astringent et acidulé, ressemblant au cassis, et elles sont riches en pectine.
Aronia rouge;L’aronia rouge est une baie. Possédant un goût amer et astringent, on les mange cuites. En jus et en confiture, elle a un goût qui se rapproche du cassis. Elle mesure entre quatre et sept millimètres de diamètre. Riche en vitamine C, l’aronia rouge est très pigmentée et aussi très antioxydante.
Asiminier trilobé;L’asimine, est un fruit charnu de l’assiminier trilobé. Cette baie a un aspect oblong pouvant aller jusqu’à quinze centimètres. Sa couleur davantage verte pendant sa croissance tire vers le jaune à sa maturité. Sa chair est crémeuse, de couleur jaunâtre. Son goût est un doux mélange entre la banane et la mangue.
Atte;La pomme-cannelle, deuxième prénom de l’atte, vient à la fois d’Amérique du Sud et d’Afrique de l’Ouest. De la grosseur d’une pomme, l’atte a d’épaisses écailles indurées. Sa chair tendre de couleur blanche se mange crue et dégage un parfum sans pareil. Son intérieur abrite de multiples pépins aplatis.
Avocat;L’avocat est un fruit exotique issu de l’avocatier, un arbre cultivé en Amérique du Sud ainsi qu’en Amérique Centrale. De couleur verte ou noire et de forme ovale, il recèle sous sa peau une chair verte et onctueuse ainsi qu’un gros noyau. Riche en antioxydants et en lipides, il se consomme cru ou en guacamole, écrasé et agrémenté d’épices.
Awara;Fruit de couleur orange surprenante, l’awara est un fruit issu d’un palmier des îles d Guyane et du Brésil. Mangé en bouillon selon la tradtion de Guyane à Pâques, sa pulpe riche en vitamine A peut également être mangée crue. Une huile comestible peut également en être extraite et du beurre est confectionné grâce à l’amande du noyau.
Babaco;Le babaco provient d’Equateur et est issu d’un croisement de deux espèces. Subtropical, le fruit jaune pousse en altitude. Il en pousse environ une soixantaine sur l’arbre. Généralement consommé en jus frais, le babaco est aussi dégusté en conserve ou en morceaux déshydratés. Il continue à murir après la cueillette. Cette baie a une section de forme pentagonale.
Bael;Le bael, ou coing du Bengale, sans citer ses autres noms, mûrit au bout d’un an. Arrondi ou ovale, son diamètre est inférieur à dix centimètres. Originairement d’un gris vert, il passe aux tons orangés à sa maturité. Sa coque est épaisse et renferme une huile aromatique. Sa pulpe résineuse est sucrée avec des propriétés astringentes.
Baie de goji;La baie de Goji est un fruit issu d’une plante grimpante appelée Goji. Originaire d’Asie, sa réputation de secret de jouvence se répand dans le monde et son succès est tel qu’il est également cultivé en Europe et en Amérique du Nord. Extrêmement riche en antioxydants et en vitamine C, cette petite baie rouge se consomme crue, mais le plus souvent sèche ou en jus.
Baies d'argousier;Ces baies sont ovoïdes. Elles ont une partie charnue entourant un akène. De forme globuleuse, elles varient du jaune à l’orange lors de leur maturité en septembre. Inférieures à huit millimètres de diamètre, elles sont comestibles mais acides. On peut alors faire de ces baies des marmelades ou des gelées.
Banane;La banane est un fruit provenant d’une plante herbacée géante appelée bananier. Cultivée dans de nombreux pays, elle est essentiellement exportée par l’Afrique, l’Amérique Centrale et l’Amérique Latine. Il existe deux types de bananes, la banane dessert et la banane à cuire ou plantain. La première, sucrée et de couleur jaune, se consomme crue et la seconde, amère et verte se consomme cuite.
Banane sauvage;La banane sauvage est une baie contenant de nombreux pépins anguleux et durs, appelés polycarpes. Son arôme est l’acétate d’isoamyle. Il est enclavé dans la chair blanc crème de la banane. Cette dernière peut être colorée selon la variété. Riche en sucre à maturité, elle est nourrissante et riche en potassium.
Barbadine;Fruit de la liane tropicale, la barbadine est une grenadille géante. Provenant du sud du continent Américain, également trouvée en Afrique centrale, elle est le plus gros des fruits de la passion. Ses dimensions vont jusqu’à trente centimètres de long et quinze centimètres de diamètre. Ovoïde, elle a une peau épaisse verdâtre. Sa pulpe permet d’obtenir du sirop et des confitures.
Bergamote;La bergamote est un agrume provenant d’un arbre appelé bergamotier. Cultivée en Italie et plus précisément sur la côte calabraise, elle a l’apparence extérieure du citron mais s’en distingue par la couleur de sa chair, verte et acide. Elle est rarement consommée en tant que fruit. En revanche, l’huile contenue dans son écorce est essentiellement utilisée dans l’alimentaire ou la cosmétique.
Bigarade;Agrume du bigaradier, aussi appelé orange amère, il est également utilisé en parfumerie. Le fruit ressemble à l’orange habituelle mais avec une couleur plus sombre et une taille moins grande. Sa coque est décollée et son intérieur se décompose en une dizaine de segments à pépins, révélant une chair acide et un endocarpe amer.
Bignay;Le bignay est un fruit sphérique de très petite taille, ne dépassant pas un centimètre. Regroupé en grappes, il est blanc, puis se pigmente en rouge et enfin en noir à complète maturité. Mais les grappes ne mûrissent pas au même moment, ce qui donne un tableau éclatant de couleurs. Son goût ressemble à la canneberge.
Bilimbi;Le bilimbi est une espèce voisine de la carambole. Provenant de Malaisie et sur les marchés asiatiques, il est plus petit qu’elle. Ses extrémités sont également moins marqués. Il possède une chair verte et juteuse. Ferme, sont acidité est plus forte que celle de la carambole et est composé de six graines.
Cacao;Ingrédient de base du chocolat, ce fruit provient d’Amérique tropicale et rassemble une vingtaine d’espèces. En forme de cabosse cannelée à paroi épaisse, il peut atteindre les 30 centimètres. Sa coque est jaune ou légèrement pourpre. Sa partie interne contient des fèves enrobées de mucilage. Après fermentation de ces dernières sous quelques jours, elles deviennent comestibles.
Calamondin;Appelé oranger d’appartement, le calamondin est un agrume de petite taille coloré dans les tons orange. Son goût évoque l’orange amère par son acidité. Il est issu d’un croisement entre la mandarine et le kumquat. Il laisse un parfum suave dans les intérieurs, où il est le seul agrume cultivé.
Canistel;Le canistel est cultivé en Amérique centrale. Le fruit se récolte une fois jaune. Possédant une pulpe de la même couleur, cette dernière a une texture sèche et farineuse, ressemble au jaune d’oeuf cuit. Son goût est sucré et également musqué. Le canistel se mange cru ou accompagné selon les traditions.
Carambole;Fruit exotique succulent et riche en vitamines, la carambole décore également les assiettes. Sa forme étoilée est obtenue après que l’on ait ôté ses côtes saillantes. Elle est trouvée à l’origine sous une forme ovoïde. Elle provient d’Asie, d’Amérique ou d’Israël. Toxique à haute dose pour les reins, on aime cependant occasionnellement son goût acidulé et rafraîchissant.
Cassis;Le cassis est une petite baie poussant sous forme de grappes. Il provient d’une plante médicinale appelée cassissier, originaire d’Europe et d’Asie du Nord. De la taille d’une olive et de couleur noire, son goût un peu aigre fait qu’il se consomme davantage en confiture, en sirop ou en tarte. Il est également riche en vitamine C et en polyphénol.
Cédrat;Le cédrat est un agrume d’une vingtaine de centimètres venant d’Asie. Il a une écorce jaune parfumée, épaisse et irrégulière. L’intérieur de sa chair est vert, et contient peu d’eau. Son acidité est prenante. Divisé en plusieurs quartiers, de nombreux pépins le composent. Rarement consommé frais, on le vend et le préfère confit.
Cempedak;Le cempedak est un fruit comestible en Asie tropicale. Son goût est très proche de celui du jacquier et de l’arbre à pain, avec des notes du durian. Sa chair jaune est très sucrée et se trouve autour de graines composant une grande majorité du volume intérieur. D’extérieur, son écorce est dure et divisée en de petites formes géométriques.
Cenelle;La cenelle est communément appelée aubépine. Insipide, seul un faible arôme de pomme parvient aux papilles. Elle a la forme d’une petite baie rougeâtre et brune. On consomme en réalité le réceptacle floral de la plante, ce qui en fait un faux-fruit. Farineuse, elle fut autrefois utilisée contre les troubles de sommeil et les troubles cardiaques.
Cerise;La cerise est un fruit provenant d’un arbre du nom de cerisier. Originaire d’Asie, la cerise est cultivée dans de nombreux pays et notamment en Turquie, en Iran et aux Etats-Unis qui restent ses principaux producteurs. De petite taille, de forme sphérique et agrémentée d’un noyau, la cerise est essentiellement rouge, voire noire selon sa variété. Sous sa peau fine et brillante se cache une pulpe sucrée, juteuse et délicieusement parfumée.
Cerisier de Cayenne;Ce fruit tropical est issu d’Amérique du sud et se cultive également à La Réunion. Ces cerises sont plutôt douces, mais certaines variétés à gros volume sont noires, aromatiques et épicées. Il ressemble à une citrouille rouge et minuscule. Crue, elle est aussi mangée en confiture ou sirotée en jus.
Cerisier du Brésil;Fruit du Brésil, cette cerise est une baie. De forme globuleuse et aplatie au pôles, elle est de couleur noire et a la taille d’une cerise. Son noyau est arrondi et est entouré d’une pulpe molle. Juteuse, elle a un parfum fort et une forte teneur en sucre. Sa chair est de couleur orange ou rouge.
Chérimole;La chérimole vient des Andes et grandit sur un arbre épineux. Elle peut être ovale ou conique selon l’espèce. C’est une baie de grosse taille variant du vert au jaune en mûrissant. Elle a peu d’acidité et possède un parfum fort. Aussi moelleuse qu’un flan, elle a des graines dures à ôter avant de la déguster.
Chèvrefeuille bleu;Egalement appelé le camérisier bleu, le chèvrefeuille bleu provient de l’hémisphère nord, dans les pays tempérés. Ces baies sont pruineuses. Leur couleur varie du bleu nuit au noir. Elles ont une taille d’un centimètre de long sur un demi centimètre de diamètre. Elles sont réduites en confitures ont consommées crues.
Citron;Le citron est un agrume provenant du citronnier qui possède une saveur particulièrement acidulée. De couleur jaune, ce fruit ovale à pépins est un véritable concentré de vitamine C. Il possède également de nombreuses applications notamment en gastronomie ou dans le domaine médical.
Citron doux;La limette est le deuxième prénom du citron doux. Ce petit agrume est surtout consommé en Inde, sous forme de jus rafraîchissants. Sa peau est de couleur jaune pâle, avec une large épaisseur de cinq millimètres. Le citron doux renferme une pulpe éclatante verte, et un jus davantage insipide qu’acide.
Citron vert;Appelé lime, ce fruit est produit tout au long de l’année au Mexique et aux Caraïbes. D’aspect très proche de celui du citron, il est entièrement vert. Son acidité particulière et parfumée est très prisée. Il mesure entre trois et six centimètres et possède ou non des pépins selon la variété.
Cocona;La cocona produit un jus aux multiples vertus. Baie comestible, elle allie selon les variétés le rouge, l’orange ou le jaune. Généralement trouvée en Amérique du Sud, elle peut se consommer crue et ressemble à un poivron gonflé. Son goût varie entre le citron et la tomate ou en jus désaltérant.
Cœur de bœuf;Fruit du cachiman, le coeur de boeuf vient des Antilles. Globuleux, il a une taille plutôt grande avec un poids pouvant atteindre un kilogramme. Il a une peau lisse et mince. Teinté jaune et brun, il semble marqué à sa maturité d’empreintes de doigts. Ses noyaux sont toxiques et sa sève irritante.
Coing;Le coing pousse sous des climats chauds et se consomme en confitures, gelées ou pâtes de fruit. Sa forte teneur en pectine en permet ces confections. Ses pépins sont abondants et enclavés dans une chair ferme d’odeur suave. Il a une peau fine variant du vert au jaune avant la cueillette.
Combava;Agrume assez méconnu, le combava a la forme d’un petit citron vert bosselé ou verruqueux. Son parfum a une odeur forte de citronnelle et il est très utilisé dans la cuisine asiatique pour son zeste, ainsi que le feuillage de l’arbre. Sa pulpe est généralement délaissée, car trop amère et acide pour être consommée.
Corossol;C'est un fruit aromatique qui pousse dans les régions tropicales, notamment en Asie et dans les Antilles. D’une couleur vert foncé à jaune lors de sa maturité, il a une peau épaisse couverte d’épines flexibles, se séparant aisément de la chair juteuse et fibreuse. Elle contient des graines marron et brillantes en grande quantité.
Cranberry;La cranberry ou canneberge est une petite baie rouge provenant d’un arbrisseau robuste du même nom cultivé principalement en Amérique du Nord. Sa chair étant juteuse et acidulée, la cranberry se consomme essentiellement en jus. Elle est riche en potassium et en antioxydants.
Cynorhodon;Le cynorhodon est en fait le conceptacle du rosier et de l’églantier, et contient des akènes qui sont les vrais fruits, appelés communément les graines. Ces dernières sont les ingrédients du poil à gratter, qu’il faut donc ôter avant de manger le fruit. Plutôt ovoïde, de quelques millimètres de long, ce faux-fruit varie du rouge à l’orange à maturité.
Datte;Les dattes sont le fruit d’un palmier du Moyen-Orient. Elles se positionnent en régimes de 200 dattes. Avant sa maturité, la chair est verte. Mûre, sa couleur devient ambrée et légèrement translucide, englobant un noyau. Confite, elle révèle un goût sucré très apprécié. Elle mesure quelques centimètres de long pour deux centimètres de diamètre.
Durian;Le durian est issu d'un arbre pouvant mesurer près de quarante mètres de haut. Il se cultive presque exclusivement en Asie et peut atteindre plusieurs kilos. Les rainures du fruit craquent à sa maturité. Une membrane blanche non comestible sépare en plusieurs sections sa chair crémeuse et douce, d’une saveur particulière qui peut surprendre.
Feijoas;Délicieux fruit acidulé, il est d'aspect verdâtre et charnu, rappelant les avocats. Il pousse généralement dans les mêmes régions que le kiwi. Entouré d’une enveloppe rugueuse, il se déguste rapidement sur place ou en confiture. Sa partie centrale est opaque avant maturation, puis elle se remplit de graines, devient gélatineuse et translucide avant de brunir.
Figue;Ce fruit est une enveloppe charnue recouvrant des graines croquantes appelées akènes, qui sont les véritables fruits du majestueux figuier. Elle est cultivée dans les pays méditerranéens et est très riche en sucre. Les figues les plus connues sont les noires, les vertes et les violettes. Ces dernières sont les plus juteuses, les plus sucrées et les moins répandues.
Figue de Barbarie;Fruit provenant d’Amérique, cette baie large et ovoïde donne une huile très prisée et est comestible selon l'espèce. Appelée Tuna au Mexique, et possédant de multiples autres appellations, elle est recouverte de fines épines et d’une peau épaisse variant du vert, à l’orange et au rouge. Sa chair juteuse et pigmentée regorge de pépins croquants et acidulés.
Fraise;La fraise est un fruit issu d’une plante herbacée nommée fraisier. Originaire à la fois du Chili et de l’Amérique, elle est cultivée dans la plupart du monde à l’heure actuelle. De forme ovoïde et de couleur rouge, la fraise est constellée de minuscules alvéoles remplies de graines jaunes ou parfois brunes. Riche en vitamines et en fibres, sa chair est tendre, juteuse et sucrée et se consomme crue ou cuite.
Fraise chinoise;La myrica rubra, ou fraise chinoise, est un fruit de forme sphérique. Inférieure à trois centimètres de diamètre, elle est bosselée. Son rouge profond et brillant séduit les consommateurs. Sa pulpe est plus légèrement pigmentée, avec une chair sucrée et particulèrement acide. Sa graine centrale occupe la majorité du volume du fruit.
Framboise;Il s’agit d’une ronce rosée venant d’Asie et qui existe aussi à l’état sauvage. Cultivée lors des croisades en Europe, elles ont une cavité centrale une fois cueillies. Ses nombreux petits replis fragiles sont doux, suaves et sucrés. Ce fruit acidulé est ordinairement rose, mais aussi jaune ou noir.
Fruit à pain;En Océanie, le fruit de l’arbre à pain se déguste à maturité où la pulpe est farineuse. Il est parfois appelé pain ou brioche. Ce syncarpe est verdâtre ou jaunâtre, plutôt oblong. Il est marqué par des traits hexagonaux et sa pulpe est de couleur crème. De nombreuses recettes des îles permettent de le déguster.
Fruit de la passion;Le fruit de la passion, connu également sous le nom de grenadille ou maracuja est un fruit tropical provenant d'une variété de plante grimpante appelée passiflore. Il est essentiellement cultivé en Amérique du Sud dont il est originaire ainsi qu’en Indonésie. De la taille d’un œuf et de couleur orange, son épaisse écorce cache une pulpe granuleuse, légèrement acidulée, riche en antioxydants et en vitamines A et C.
Fruit du dragon;Le fruit du dragon, également appelé pitaya, est un fruit tropical provenant de différentes espèces de cactus. Cultivé essentiellement en Amérique du Sud et en Asie, il est généralement consommé crus ou en jus. Sous d’épaisses écailles roses se trouve une chair blanche ou rouge délicate et sucrée, dont la texture rappelle celle du kiwi.
Fruit miracle;Le fruit miracle, originaire d’Afrique de l’Ouest, a la propriété d’ôter les sensations d’acidité et d’amertume pendant moins d’une heure. C’est une baie avec un goût peu sucré. Sa pulpe recouvre en effet les papilles de la langue grâce à la miraculine, ce qui neutralise l’effet d’autres aliments, comme l’acidité du citron.
Goumi du Japon;Les goumis du Japon sont de minuscules fruits rouges comestibles. Ils possèdent une teneur en sucre plus ou moins forte et un pouvoir astringent, ce qui en fait des proies idéales pour les oiseaux. Consommés en blets ou en gelée, leur utilisation est limitée et ils peuvent notamment se récolter en Lorraine en période estivale.
Goyave;D’Amérique tropicale, la goyave est de la même famille que la cannelle et la muscade. De 5 à 8 centimètres de diamètre, sa peau mince est souvent jaune ou tachée de noir. Sa chaire intérieure est blanche ou rouge, a un parfum prononcé, et est légèrement acidulée. Désaltérante, elle a des graines dures et comestibles.
Goyave de Chine;Le goyavier de Chine peut aussi être appelé le goyavier-fraise. Malgré son appellation française, il vient d’Amérique du Sud. Egalement cultivé sur les îles comme l’île Maurice, il s’agit d’une baie sphérique du même volume que la mirabelle. D’aspect lisse et brillant, sa couleur est rouge violacé à pleine maturité.
Grenade;Le grenade pousse dans les pays tropicaux. Mesurant jusqu’à sept centimètres de diamètre, elle est entourée d’une peau coriace et épaisse, qui en fait une partie non comestible. Rouge et brillante, elle peut également être jaunâtre. Divisée en six sections internes, sa pulpe est charnue, juteuse et sucrée, et ses pépins sont eux plutôt amers.
Grenadelle;La grenadelle, grenadille sucrée ou grenadille douce, vient d’Amérique du sud. La couleur de sa peau est jaune-orangé. Ronde, elle possède une queue dure à son sommet. Décrétée comme l’un des meilleurs fruits de la passion, elle a une pulpe gélatineuse criblée de graines noires. Elle ne se fripe pas et a un goût aromatique.
Griottes;La griotte est une petite cerise de couleur rouge foncé, plus souvent consommée une fois cuite. Sa forme est une drupe arrondie et juteuse. Enveloppée d’une peau très fine, elle est suspendue à de longs pédoncules. Elle fait partie des cerises acides. Son parfum aromatise délicatement les confitures et les tartes.
Groseille;La groseille est issue d’un arbuste touffu et a des dizaines de variétés, dont la groseille à grappe. C’est une baie ronde, rouge ou blanche de moins de cinq millimètres. Elle éclate à la mastication et révèle une acidité particulière dite aigrelette, dont le jus pigmenté est riche en pectine.
Groseiller des Barbades;Les groseilles des Barbades sont des petits fruits atteignant 2,5 centimètres de diamètre. Globuleuses, charnues, ces petites groseilles sont également épineuses. Leur couleur varie de l’orange au jaune. Elles sont comestibles et possèdent de multiples graines noires lenticulaires. Elles sont largement répandues en Amérique latine. Elles peuvent être préparées en conserve et en confiture.
Icaque;L’icaque ou la prune de coton, ressemblant à une prune et mesure quelques centimètres de diamètre. De forme sphérique, il est blanc teinté de rose ou pourpre foncé, avec une pulpe blanche. Cru, il a une chair évoquant le coton, douce et âcre. Confit, il sert aussi dans le parfum des rhums. Ses noyaux se torréfient et se mangent.
